Vila,Value Stream,Squad,Referência,Velocidade - Sem time,Velocidade - Histórias sem time,"Velocidade - Épico iniciado, com status Identificado",Velocidade - épico pode mover para Em execução,Velocidade - épico pode mover para Executado,Velocidade - épico pode mover para Em Medição,Velocidade - História pode mover para Em Desenvolvimento,Velocidade - História pode mover para Desenvolvido,Velocidade - História pode mover para Testada,Velocidade - História pode mover para Homologada,Eficiencia - Geral sem APF preenchido,Eficiencia - Potential sem APF preenchido,Eficiencia - Activated sem APF preenchido,Qualidade - Defeitos sem time,Qualidade - Issues BURN sem time preenchido,Qualidade - Defeitos sem fase preenchido,Qualidade - Historias sem APF,Qualidade - Defeitos sem horas logadas,Qualidade - Burn sem log de horas
CARTÕES,ENGAJAMENTO & PRODUTOS | EXPERIÊNCIA DO CLIENTE,COBRA KAI,False,0,1,0,1,0,0,1,0,0,7,13,5,0,19,50,0,13,1,0
CARTÕES,ENGAJAMENTO & PRODUTOS | EXPERIÊNCIA DO CLIENTE,APIMENTADOS,False,0,1,0,0,0,0,0,0,0,0,0,0,0,19,50,0,0,0,0
CARTÕES,ENGAJAMENTO & PRODUTOS | EXPERIÊNCIA DO CLIENTE,ENTREGA DE CREDENCIAIS DE PAGAMENTO,False,0,1,0,1,0,0,0,0,0,0,21,15,0,19,50,0,21,0,0
CARTÕES,ENGAJAMENTO & PRODUTOS | FINANÇAS,REGULA FORCE,False,0,0,1,0,1,2,0,0,0,0,8,2,2,0,2,0,8,3,8
CARTÕES,ENGAJAMENTO & PRODUTOS | FINANÇAS,CONTABIL POWER,False,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,4,0,2
CARTÕES,ENGAJAMENTO & PRODUTOS | FINANÇAS,FORA DA CAIXA,False,0,0,1,1,2,2,0,0,0,0,9,6,1,0,2,0,9,1,5
CARTÕES,AQUISIÇÕES,SATURNO,True,4,66,1,0,0,0,1,0,0,7,1,1,0,102,1866,0,1,0,1
CARTÕES,AQUISIÇÕES,THUNDERA,True,4,66,0,0,0,0,0,0,1,11,1,0,0,102,1866,0,1,2,26
CARTÕES,AQUISIÇÕES,ASGARD,False,4,66,1,2,0,0,1,0,0,0,18,0,9,102,1866,1,18,6,313
CARTÕES,AQUISIÇÕES,KRYPTON,False,4,66,0,1,0,0,0,0,0,0,12,0,0,102,1866,0,12,4,8
CARTÕES,AQUISIÇÕES,VÊNUS,True,4,66,0,0,1,0,0,0,0,7,2,0,0,102,1866,0,2,0,24
CARTÕES,AQUISIÇÕES,JUPITER,True,0,0,3,1,0,0,3,0,0,0,1,0,1,8,4,0,1,0,50
CARTÕES,PAGAMENTOS DIGITAIS,VENOM,False,0,15,3,3,0,0,3,0,2,2,77,5,14,6,192,1,77,4,62
CARTÕES,PAGAMENTOS DIGITAIS,JOKER,False,0,15,1,0,3,1,3,2,3,4,8,2,5,6,192,0,8,18,57
CARTÕES,PAGAMENTOS DIGITAIS,MALÉVOLA,False,0,15,2,2,2,3,0,0,0,0,13,1,9,6,192,0,13,14,82
MORADIA,COMPRAR - INOVAÇÃO E REESTRUTURAÇÃO,VS_CIR-EFICIENCIA_LEGADO,False,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,19
MORADIA,COMPRAR - INOVAÇÃO E REESTRUTURAÇÃO,VS_CIR-ATENDIMENTO_A_REGULACAO,False,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,13
OPEN BANKING,FORNECIMENTO DE DADOS,VS_FD-CARTOES,False,10,32,1,3,1,1,0,0,0,1,0,0,0,144,884,0,0,5,76
OPEN BANKING,FORNECIMENTO DE DADOS,VS_FD-CADASTRO,False,10,32,0,0,0,0,0,0,0,0,1,0,1,144,884,0,1,3,90
OPEN BANKING,FORNECIMENTO DE DADOS,VS_FD-DADOS_PUBLICOS,False,10,32,0,1,0,0,7,0,0,0,1,0,1,144,884,0,1,0,15
OPEN BANKING,FORNECIMENTO DE DADOS,VS_FD-ADPOS_E_DCOM,False,10,32,1,6,8,1,0,0,0,0,1,1,0,144,884,0,1,1,56
OPEN BANKING,FORNECIMENTO DE DADOS,VS_FD-FINANCIAMENTO,False,10,32,0,0,0,0,0,0,4,4,8,0,0,144,884,0,8,0,107
OPEN BANKING,FORNECIMENTO DE DADOS,VS_FD-CONTAS,False,10,32,1,3,2,1,1,0,0,19,2,1,0,144,884,0,2,0,4
